CRATER_ID,CRATER_NAME,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,NUMBER_LAYERS
01-000128, ,66.417,99.728,15.6,.29,DLERC/DLERS,Hu, ,2
01-000129, ,75.16,-88.2,15.33,.48,SLERS,HuSL, ,1
01-000130, ,78.009,52.349,15.26,.39,DLERC/DLERS,HuSL/HuBL, ,2
01-000131, ,73.072,-105.843,15.17,.46,SLERS,HuSL, ,1
01-000132, ,65.514,131.132,15.05,.06, , , ,0
01-000133, ,65.475,98.723,14.98,.05, , , ,0
01-000134, ,69.114,123.356,14.9,.26,SLERC,HuSL, ,1
01-000135, ,68.526,12.926,14.89,.69,Rd/DLERS,HuSL, ,2
01-000136, ,66.152,151.407,14.76,0, , , ,0
01-000137, ,69.457,162.641,14.68,.45,Rd/SLERC,HuSL, ,1
01-000138, ,71.638,-124.199,14.48,.68,SLERC,HuSL, ,1
01-000139, ,67.771,-137.288,14.45,.84,DLERS,HuSL/SmSL, ,2
01-000140, ,68.492,149.025,14.35,.38,Rd, , ,0
01-000141, ,67.287,-167.08,14.24,.63,SLEPS,SmSL, ,1
01-000142, ,67.195,47.814,14.21,.32,DLERS,HuBL, ,2
01-000143, ,66.844,131.27,14.08,.33,DLERS,HuSL, ,2
01-000144, ,73.013,101.326,14.08,.08, , , ,0
01-000145, ,67.392,-104.476,14.05,.07, , , ,0
01-000146, ,76.847,26.552,14.02,.53,SLERC,HuSL, ,1
01-000147, ,76.311,-57.603,14.01,.03, , , ,0
01-000148, ,68.947,26.765,13.98,.37,SLERC,HuSL, ,1
01-000149, ,75.49,158.661,13.94,.47,Rd, , ,0
01-000150, ,82.803,-55.678,13.9,0, , , ,0
01-000151, ,65.007,49.042,13.81,0, , , ,0
01-000152, ,78.019,40.12,13.78,.48,SLEPS,HuBL, ,1
01-000153, ,77.521,-53.163,13.54,.15, , , ,0
01-000154, ,65.884,100.841,13.54,.07,Rd, , ,0
01-000155, ,66.231,111.299,13.53,.05, , , ,0
01-000156, ,71.128,157.475,13.45,.98,Rd/DLEPC/DLERC,HuSL, ,2
01-000157, ,69.579,-140.403,13.38,.59,SLERS,SmSL, ,1
01-000158, ,74.963,101.753,13.37,.22,SLERS,HuSL, ,1
01-000159, ,80.37,-39.109,13.1,.05, , , ,0
01-000160, ,69.252,102.432,13.1,.06,Rd, , ,0
01-000161, ,70.953,86.649,13.01,.05, , , ,0
01-000162, ,66.99,88.766,12.98,.96,Rd/SLEPS,HuAm, ,1
01-000163, ,72.516,-19.372,12.95,.31,SLERS,SmSL, ,1
01-000164, ,71.267,131.591,12.85,.3,SLEPS,HuSL, ,1
01-000165, ,78.61,-12.992,12.79,.25, , , ,0
01-000166, ,71.441,170.3,12.78,.43,SLERC,HuSL, ,1
01-000167, ,76.086,73.592,12.77,.03, , , ,0
01-000168, ,68.17,-158.371,12.73,.45,DLERS,HuSL, ,2
01-000169, ,68.224,-84.114,12.63,.34,SLERS,HuSL, ,1
01-000170, ,66.915,-16.283,12.61,.38,SLEPC,HuSL, ,1
01-000171, ,68.707,-147.658,12.57,.4,DLERS,HuSL, ,2
01-000172, ,73.012,21.935,12.55,.3,DLERC/DLERS,HuSL/HuBL, ,2
01-000173, ,66.466,124.024,12.51,0, , , ,0
01-000174, ,77.65,-132.061,12.45,0, , , ,0
01-000175, ,70.077,13.86,12.39,.32,SLERC/Rd,HuSL, ,1
01-000176, ,76.336,-27.272,12.36,.3,DLERS,HuBL, ,2
01-000177, ,70.667,57.554,12.34,.34,SLERS,HuBL, ,1
01-000178, ,74.896,15.017,12.31,.41,SLEPS,HuSL, ,1
01-000179, ,65.141,70.779,12.28,.47,DLEPC/DLERS/Rd,HuSL/HuBL, ,2
01-000180, ,65.36,-150.236,12.21,.09, , , ,0
01-000181, ,79.654,-140.921,12.13,.14, , , ,0
01-000182, ,65.081,-78.921,12.02,.26,SLERC,HuSL, ,1
01-000183, ,75.691,-175.929,11.95,.02, , , ,0
01-000184, ,68.436,-170.668,11.9,.87,MLEPC/MLERS/MLERS/Rd,Sm/HuSL/HuSL, ,3
01-000185, ,74.213,-142.058,11.83,.74,DLEPS/DLERS,SmBL/HuSL,Pseudo-Butterfly,2
01-000186, ,76.645,46.348,11.83,.23,SLEPSPd,SmSL, ,1
01-000187, ,73.839,-101.777,11.81,.27,DLERS,HuSL, ,2
01-000188, ,71.515,139.306,11.79,.3,DLERC,HuSL, ,2
01-000189, ,74.742,13.42,11.77,.49,SLERS,HuAm, ,1
01-000190, ,69.285,-85.985,11.75,1.14,Rd/SLEPd, , ,1
01-000191, ,70.247,162.316,11.63,.41,Rd/SLERC,HuSL, ,2
01-000192, ,71.955,-25.213,11.58,.26,SLEPS,SmSL, ,1
01-000193, ,78.349,-148.926,11.51,.16,Rd, , ,0
01-000194, ,69.352,-114.587,11.48,.37,DLERS,HuSL/SmBL, ,2
01-000195, ,77.455,7.639,11.35,.79,SLEPC,Hu,Pin-Cushion,1
01-000196, ,67.271,-55.551,11.25,.23,MLERC/MLERS/MLERS,Sm/SmBL/HuBL, ,3
01-000197, ,67.182,-104.266,11.21,.07, , , ,0
01-000198, ,72.423,-112.432,11.19,.5,DLEPS,HuSL/HuBL, ,2
01-000199, ,70.217,118.254,11.09,.02, , , ,0
01-000200, ,77.895,29.841,11.08,.06,Rd, , ,0
01-000201, ,69.494,65.913,10.99,.46,SLERC,HuSL, ,1
01-000202, ,81.365,117.27,10.97,.13, , , ,0
01-000203, ,70.357,133.751,10.94,.04, , , ,0
01-000204,Lonar,72.992,38.304,10.89,1.1,Rd/MLEPC/MLERS/MLERS/MLERS,HuSL/HuBL/HuBL/HuSp, ,4
01-000205, ,79.158,-8.083,10.88,.09, , , ,0
01-000206, ,66.184,-118.139,10.86,.03, , , ,0
01-000207, ,65.734,-100.243,10.83,.03, , , ,0
01-000208, ,85.097,-125.062,10.76,.62, , , ,0
01-000209, ,74.098,-147.617,10.75,.78,MLEPC/MLERS/MLERS/Rd,SmSL/SmSL/HuSL, ,3
01-000210, ,67.152,63.107,10.74,.31,SLERC,HuSL, ,1
01-000211, ,69.671,96.063,10.73,0, , , ,0
01-000212, ,76.423,-94.788,10.68,.28,DLERS,SmSL, ,2
01-000213, ,66.633,-150.685,10.67,.03, , , ,0
01-000214, ,76.118,90.532,10.63,.19,SLERS,HuSL, ,1
01-000215,Heimdal,68.326,-124.554,10.56,.84,Rd/SLEPS,HuBL, ,1
01-000216, ,71.064,-111.108,10.52,.49,Rd, , ,0
01-000217, ,70.374,-31.016,10.46,.03,Rd, , ,0
01-000218, ,71.01,-27.874,10.44,.16,SLERS,HuSL, ,1
01-000219, ,70.081,96.513,10.35,.05,Rd, , ,0
01-000220, ,70.33,-18.633,10.35,.22,DLERC/DLERS,Hu/SmSL, ,2
01-000221, ,71.13,-10.162,10.31,.23,SLERS,HuSL, ,1
01-000222,Puyo,83.93,137.016,10.28,-.01, , , ,0
01-000223, ,70.363,-77.254,10.22,.25,SLERS,HuBL, ,1
01-000224, ,79.169,-177.018,10.2,.22, , , ,0
01-000225, ,65.473,-92.695,10.18,.21,SLERS,HuSL, ,1
01-000226, ,72.995,-23.342,10.11,.03, , , ,0
01-000227, ,74.714,64.613,10.07,.03,Rd, , ,0
01-000228, ,67.512,150.951,10.07,.05, , , ,0
01-000229, ,67.193,26.981,10.06,.15,SLERS,HuBL, ,1
01-000230, ,66.518,-62.346,10.04,.25,SLERS,HuBL, ,1
01-000231, ,73.273,-136.515,9.96,.31,Rd/SLERC,HuSL, ,1
01-000232, ,67.824,-108.352,9.9,.1, , , ,0
01-000233, ,77.465,101.407,9.83,.11,SLERC,HuSL, ,1
01-000234, ,66.725,97.041,9.81,.22,SLERC,Sm, ,1
01-000235, ,72.607,115.382,9.75,.17,DLERC/DLERS,Hu/HuSL, ,2
01-000236, ,74.477,-69.95,9.72,.18,Rd, , ,0
01-000237, ,72.181,39.371,9.69,.15,SLERC,SmSL, ,1
01-000238, ,66.568,-64.064,9.64,.18,DLERS,HuSL, ,2
01-000239, ,72.595,170.764,9.61,.28,SLERS,HuSL, ,1
01-000240, ,69.484,91.152,9.59,.14,SLERS,HuAm, ,1
01-000241, ,78.549,-91.718,9.53,.04, , , ,0
01-000242, ,67.697,152.893,9.51,.51,MLERS,HuBL, ,3
01-000243, ,72.03,149.787,9.5,.23,SLERS,HuSL, ,1
01-000244, ,76.244,138.765,9.49,.35,DLERC/DLERS,HuSL, ,2
01-000245, ,66.97,-107.95,9.43,.33,MLERS,HuSL, ,3
01-000246, ,73.721,-174.468,9.43,.35,Rd, , ,0
01-000247, ,68.042,173.207,9.39,.21,DLERC/DLERS,HuSL/HuBL, ,2
01-000248, ,74.619,72.301,9.36,.15,SLEPS,SmBL, ,1
01-000249, ,76.214,-37.532,9.34,.1,Rd, , ,0
01-000250, ,72.164,-81.53,9.32,.17,SLERC,HuSL, ,1
01-000251, ,68.691,10.799,9.3,.15, , , ,0
01-000252, ,66.626,97.481,9.26,.11,SLERC,SmSL, ,1
01-000253, ,71.222,99.251,9.23,.16,DLERC/DLERS,Hu/HuBL, ,2
01-000254, ,66.427,9.419,9.21,.16,SLERC,HuSL, ,1
01-000255, ,67.422,-127.432,9.16,0, , , ,0
01-000256, ,73.778,-37.165,9.15,.19, , , ,0
01-000257, ,65.138,-77.171,9.15,.2,SLERS,SmBL, ,1
01-000258, ,69.854,96.822,9.12,.03,Rd, , ,0
01-000259, ,66.433,-30.786,9.06,.11,SLERS,HuAm, ,1
01-000260, ,74.782,74.805,9.02,.06,Rd, , ,0
01-000261, ,70.521,-118.821,9.01,.23,SLEPS,HuAm, ,2
01-000262, ,72.433,-74.253,8.97,.13,DLERS,HuBL, ,2
01-000263, ,68.843,-86.164,8.97,.36,SLEPC,HuSL, ,1
01-000264, ,65.731,-104.453,8.95,.05, , , ,0
01-000265, ,77.32,139.995,8.94,.22,SLERC,HuSL, ,1
01-000266, ,66.823,-161.945,8.92,.05, , , ,0
01-000267, ,81.097,88.837,8.92,.15, , , ,0
01-000268, ,78.133,66.98,8.91,.11,SLERS,HuAm, ,1
01-000269, ,65.147,-116.186,8.89,.23,SLERS,HuSL, ,1
01-000270, ,67.044,39.228,8.87,.07,Rd, , ,0
01-000271, ,66.329,20.471,8.82,0, , , ,0
01-000272, ,73.955,-128.689,8.8,.23,MLERS/Rd,HuBL, ,3
01-000273, ,70.123,110.015,8.8,.03, , , ,0
01-000274, ,68.185,60.723,8.74,.14,DLERS,HuBL, ,2
01-000275, ,67.343,120.006,8.7,.35,SLERC/Rd,HuSL, ,1
01-000276, ,72.461,-145.926,8.69,.35,DLEPC/Rd,SmSL, ,2
01-000277, ,67.53,-26.049,8.66,.16, , , ,0
01-000278, ,75.283,-41.287,8.64,.06, , , ,0
01-000279, ,76.683,137.259,8.64,.32,DLERC,HuSL, ,2
01-000280, ,85.702,179.79,8.62,.43, , , ,0
01-000281, ,65.847,-149.458,8.6,.21,SLEPS,SmBL, ,1
01-000282, ,69.183,176.929,8.59,.16,SLEPS,HuSL, ,1
01-000283, ,72.175,-138.905,8.57,.03, , , ,0
01-000284, ,79.41,49.164,8.54,.19,SLERC,HuSL, ,1
01-000285, ,77.791,-173.415,8.54,.21,Rd, , ,0
01-000286, ,70.214,-123.788,8.53,.27,DLERS,HuSL, ,2
01-000287, ,73.042,-76.545,8.43,.09,SLERS,HuBL, ,1
01-000288, ,65.166,-20.876,8.43,.19,SLERC,HuBL, ,1
01-000289, ,69.488,104.002,8.43,.16,SLEPC,HuSL, ,1
01-000290, ,81.307,-110.332,8.43,.11, , , ,0
01-000291, ,78.681,-157.673,8.34,.16,Rd, , ,0
01-000292, ,75.664,-38.127,8.33,.09,SLERS,SmSL, ,1
01-000293, ,67.679,118.429,8.32,.19,DLERC/DLERS,Hu/HuBL, ,2
01-000294, ,77.695,-154.313,8.29,.1,Rd, , ,0
01-000295, ,70.587,30.668,8.21,.08,Rd, , ,0
01-000296, ,69.93,125.887,8.21,.14,DLERC/DLERS,Hu/HuBL, ,2
01-000297, ,65.311,-1.216,8.18,.32,SLERS,HuBL, ,1
01-000298, ,67.487,-53.146,8.18,.09,MLEPC/MLERS/MLERS,HuSL/SmBL/HuBL, ,3
01-000299, ,74.848,72.067,8.16,.07,SLERC,HuSL, ,1
01-000300, ,71.413,86.123,8.12,.11,SLEPC,Sm, ,1
01-000301, ,68.338,-133.429,8.1,.2,Rd, , ,0
01-000302, ,68.511,-25.748,8.08,.06, , , ,0
01-000303, ,80.083,142.655,8.08,.12,SLEPS,SmSL, ,1
01-000304, ,79.784,73.692,8.08,.07, , , ,0
01-000305, ,75.131,-157.891,8.08,.04, , , ,0
01-000306, ,76.083,-121.761,8.05,.21,SLEPC,SmSL, ,1
01-000307, ,67.178,10.74,8.04,.12,SLEPS,SmBL, ,1
01-000308, ,82.889,-48.124,8.01,.11, , , ,0
01-000309, ,69.491,23.144,8.01,.16,Rd/DLERS,SmSL, ,2
01-000310, ,78.641,134.46,8,.08,Rd, , ,0
01-000311, ,71.427,175.945,7.99,.12,DLERC/DLERS,HuSL, ,2
01-000312, ,70.196,-156.406,7.98,.01, , , ,0
01-000313, ,71.052,-10.21,7.97,.25,SLERS,HuSL, ,1
01-000314, ,76.655,-165.191,7.97,.19,SLERS,HuBL, ,1
01-000315, ,77.811,-67.11,7.95,.13,SLERC,Sm, ,1
01-000316, ,72.51,-68.398,7.94,.08,SLERC,HuSL, ,1
01-000317, ,77.667,-73.172,7.94,.03, , , ,0
01-000318, ,75.027,-69.005,7.92,0, , , ,0
01-000319, ,65.485,82.656,7.91,.15,SLEPC,HuSL, ,1
01-000320, ,72.672,-120.93,7.91,.15,DLERS,HuSL, ,2
01-000321, ,67.664,124.366,7.89,.35,Rd/MLERC/MLERS/MLERS,Hu/HuSL/HuSp, ,3
01-000322, ,74.329,-42.636,7.87,.07,Rd, , ,0
01-000323, ,77.26,6.817,7.85,.16,Rd/SLERS,SmBL, ,1
01-000324, ,75.232,-139.779,7.85,.16,Rd, , ,0
01-000325, ,78.159,9.1,7.82,.11, , , ,0
01-000326, ,79.781,-162.069,7.81,.04, , , ,0
01-000327, ,69.441,-165.904,7.78,.17,SLEPC,SmSL, ,1
01-000328, ,69.028,-160.713,7.75,.35,DLERS/Rd,HuSL, ,2
01-000329, ,79.734,47.467,7.75,.06,Rd, , ,0
01-000330, ,79.52,139.094,7.69,.07,SLERC,SmSL, ,1
01-000331, ,75.226,-14.426,7.69,.15,SLERC,HuSL, ,1
01-000332, ,66.957,-159.236,7.68,.1,SLERS,HuAm, ,1
01-000333, ,69.897,-163.82,7.67,.13,SLERS,SmSL, ,1
01-000334, ,74.518,-150.4,7.59,.11,Rd, , ,0
01-000335, ,78.105,-141.204,7.55,.15, , , ,0
01-000336, ,75.045,-43.068,7.54,.07, , , ,0
01-000337, ,69.85,-120.642,7.51,.2,SLEPS,HuSL, ,1
01-000338, ,70.415,-74.407,7.47,.14,SLEPS,HuAm, ,1
01-000339,Sevel,79.211,-36.212,7.47,.31,SLERS,HuSL, ,1
01-000340, ,76.351,62.442,7.47,.04,SLERS,SmSL, ,1
01-000341, ,70.442,-132.163,7.44,.15,DLERS,HuSL, ,2
01-000342, ,74.791,-83.584,7.44,.15,DLERS,HuSL, ,2
01-000343, ,75.453,95.518,7.43,.07,SLERS,HuSL, ,1
01-000344, ,67.766,75.334,7.42,.19,SLERS,HuBL, ,1
01-000345, ,72.852,-134.917,7.41,.23,SLERS,HuSL, ,1
01-000346, ,73.55,-134.24,7.36,.21,SLERS,HuSL/HuBL, ,2
01-000347, ,70.058,-110.877,7.35,.15,DLEPS,HuSL, ,2
01-000348, ,71.249,-173.111,7.35,.07,SLERC,HuSL, ,1
01-000349, ,75.574,129.733,7.33,.05,Rd, , ,0
01-000350, ,65.474,-157.805,7.31,.25, , , ,0
01-000351, ,79.879,-166.897,7.3,.13, , , ,0
01-000352, ,74.679,95.263,7.29,.01,SLERS,HuBL, ,1
01-000353, ,71.383,-103.67,7.29,.12,DLERC/DLERS,HuSL, ,2
01-000354, ,72.194,36.892,7.28,.06, , , ,0
01-000355, ,66.904,15.217,7.27,.12,SLEPS,HuBL, ,1
01-000356, ,70.956,-105.381,7.27,.24,SLERS,HuSL, ,1
01-000357, ,67.315,97.008,7.26,.07,SLEPC,SmSL, ,1
01-000358, ,69.799,-125.789,7.25,.13,DLEPC,HuSL, ,2
01-000359, ,67.473,2.978,7.25,.12,Rd/SLERS,HuSL, ,1
01-000360, ,70.125,152.72,7.2,.11,SLERS,HuSL, ,1
01-000361, ,74.313,-60.22,7.17,.03,SLEPS,HuAm, ,1
01-000362, ,74.254,.112,7.17,.13,SLERS,HuBL, ,1
01-000363, ,70.832,-88.224,7.14,.1,SLERS,SmSL, ,1
01-000364, ,65.718,-3.193,7.12,0, , , ,0
01-000365, ,70.977,-179.367,7.12,.12,DLERS,HuSL, ,2
01-000366, ,76.5,158.986,7.1,.07,Rd, , ,0
01-000367, ,71.774,.771,7.1,.08,SLERC,Sm, ,1
01-000368, ,69.159,-172.069,7.08,.09,SLERS,HuSL, ,1
01-000369, ,79.541,-178.219,7.08,.03, , , ,0
01-000370, ,77.573,-172.537,7.07,.05,Rd, , ,0
01-000371, ,65.748,-96.863,7.06,.02, , , ,0
01-000372, ,67.352,137.685,7.06,.1,SLERS,SmSL, ,1
01-000373, ,65.305,32.457,7.06,.15,DLERS,HuBL, ,2
01-000374, ,71.022,81.511,7.02,.08,SLERS,SmAm, ,1
01-000375, ,75.743,-140.218,7.02,.16,DLEPC/DLERS,Hu/HuSL, ,2
01-000376, ,74.853,-16.684,7.01,.02,SLEPS,HuAm, ,1
01-000377, ,69.138,-130.514,7.01,.16,SLEPS,HuSL, ,1
01-000378, ,70.29,-9.801,7.01,.1, , , ,0
01-000379, ,75.721,-148.499,6.95,.17,SLERS,HuAm, ,1
01-000380, ,81.206,161.463,6.94,.12,Rd, , ,0
01-000381, ,76.228,-74.986,6.93,.06,SLERS,HuSL, ,1
01-000382, ,78.087,114.957,6.92,.01, , , ,0
01-000383, ,71.591,-17.222,6.91,.06,SLERS,HuSL, ,1
01-000384, ,67.546,26.568,6.91,.12,DLERS,HuBL, ,2
01-000385, ,65.16,143.24,6.9,.17,MLERC/MLEPS/MLERS,HuSL, ,3
01-000386, ,70.961,-25.646,6.9,.06,SLEPC,SmSL, ,1
01-000387, ,70.262,-99.626,6.89,.11,DLERS,HuSL/HuAm, ,2
01-000388, ,77.893,71.079,6.89,.03,Rd, , ,0
01-000389, ,73.244,-141.554,6.86,.11,Rd, , ,0
01-000390, ,72.439,3.766,6.86,.09, , , ,0
01-000391, ,67.797,109.389,6.83,.45,DLEPC/DLERS,Hu/HuBL, ,2
01-000392, ,75.91,-128.773,6.82,.35,SLERS,HuSL, ,1
01-000393, ,68.548,-55.068,6.81,.11,DLERS,HuSL, ,2
01-000394, ,73.12,-93.627,6.8,.09, , , ,0
01-000395, ,69.359,-178.478,6.79,.08,SLEPS,HuSL, ,1
